epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
62,816.071,0.39272,0.27154,0.87771,0.00688,0.95361,0.91823,0.95071,0.68667,0.89887,0.4023,1.40027,0.00657,0.000398466,0.000398466,0.000398466
63,842.71,0.38285,0.26905,0.87685,0.0066,0.95094,0.90177,0.95138,0.69054,0.89156,0.39831,1.3919,0.00761,0.000394064,0.000394064,0.000394064
64,869.096,0.38068,0.26791,0.8709,0.00711,0.95594,0.92707,0.9635,0.70507,0.88966,0.38944,1.38397,0.00681,0.000389661,0.000389661,0.000389661
65,898.321,0.3779,0.26617,0.87127,0.00675,0.94699,0.92449,0.9479,0.6856,0.89944,0.40471,1.41237,0.00696,0.000385259,0.000385259,0.000385259
66,925.48,0.37469,0.26167,0.87139,0.00633,0.92865,0.93827,0.95869,0.69438,0.8895,0.40077,1.40069,0.00729,0.000380857,0.000380857,0.000380857
67,953.221,0.3742,0.26034,0.87294,0.00688,0.95009,0.92028,0.95358,0.69318,0.8913,0.40762,1.39914,0.00699,0.000376455,0.000376455,0.000376455
68,978.441,0.37041,0.26202,0.87331,0.00631,0.9434,0.93752,0.95828,0.69497,0.90377,0.39831,1.41131,0.00712,0.000372053,0.000372053,0.000372053
69,1005,0.36837,0.2581,0.86932,0.00699,0.94316,0.93675,0.95495,0.69701,0.87794,0.39341,1.39729,0.00683,0.00036765,0.00036765,0.00036765
70,1032.74,0.3679,0.26017,0.86849,0.00647,0.94292,0.93607,0.95556,0.69231,0.89098,0.39516,1.39479,0.00698,0.000363248,0.000363248,0.000363248
71,1059.44,0.35922,0.25179,0.86536,0.00626,0.95939,0.90507,0.95049,0.69247,0.89042,0.40524,1.3939,0.00643,0.000358846,0.000358846,0.000358846
72,1085.17,0.36203,0.25556,0.86598,0.00643,0.95114,0.92933,0.95535,0.6895,0.8985,0.39424,1.41553,0.00674,0.000354444,0.000354444,0.000354444
73,1112.67,0.36458,0.25479,0.86757,0.00637,0.9396,0.94496,0.95213,0.69172,0.89135,0.3978,1.39779,0.00643,0.000350042,0.000350042,0.000350042
74,1139.57,0.3792,0.26299,0.87777,0.00674,0.95494,0.91768,0.95763,0.69636,0.89601,0.40521,1.39976,0.00687,0.000345639,0.000345639,0.000345639
75,1165.94,0.3688,0.256,0.87047,0.00644,0.94373,0.93502,0.95825,0.69866,0.90495,0.39411,1.41442,0.00731,0.000341237,0.000341237,0.000341237
76,1191.99,0.37484,0.25893,0.87444,0.00617,0.91997,0.9441,0.95348,0.69614,0.89071,0.39453,1.3928,0.00643,0.000336835,0.000336835,0.000336835
77,1219.45,0.36408,0.25415,0.86923,0.00602,0.95047,0.92744,0.95364,0.69129,0.90045,0.3939,1.41558,0.0067,0.000332433,0.000332433,0.000332433
78,1246.62,0.36699,0.25858,0.87023,0.0059,0.92729,0.94367,0.95528,0.6934,0.8863,0.39346,1.38973,0.00666,0.000328031,0.000328031,0.000328031
79,1275.46,0.36346,0.25156,0.86802,0.0063,0.94651,0.92858,0.95232,0.69059,0.90963,0.40348,1.42021,0.00674,0.000323628,0.000323628,0.000323628
80,1302.48,0.36489,0.25463,0.87166,0.0064,0.93935,0.93774,0.95853,0.6977,0.88825,0.39051,1.39147,0.00711,0.000319226,0.000319226,0.000319226
81,1329.91,0.35969,0.24966,0.86838,0.00627,0.92443,0.94329,0.9538,0.69459,0.89746,0.39755,1.4123,0.00681,0.000314824,0.000314824,0.000314824
82,1357.73,0.35919,0.2497,0.86759,0.0062,0.94079,0.9355,0.94998,0.69097,0.89711,0.39492,1.41623,0.00673,0.000310422,0.000310422,0.000310422
83,1384.49,0.3514,0.24708,0.8634,0.00586,0.94587,0.93912,0.95613,0.69006,0.89932,0.40604,1.40693,0.00725,0.00030602,0.00030602,0.00030602
84,1412.53,0.35558,0.24717,0.86818,0.00585,0.95641,0.91953,0.95752,0.69263,0.89658,0.39367,1.4148,0.00775,0.000301617,0.000301617,0.000301617
85,1438.35,0.35507,0.24883,0.86595,0.00613,0.94833,0.926,0.95381,0.69095,0.90018,0.39981,1.40989,0.00687,0.000297215,0.000297215,0.000297215
86,1466.46,0.35239,0.24948,0.86862,0.00626,0.94188,0.93465,0.95421,0.69508,0.9004,0.39397,1.41858,0.00646,0.000292813,0.000292813,0.000292813
87,1495.19,0.35545,0.24774,0.86542,0.0062,0.93835,0.93683,0.95333,0.69811,0.88698,0.39547,1.3985,0.00659,0.000288411,0.000288411,0.000288411
88,1523.82,0.35925,0.25017,0.86495,0.00573,0.94972,0.92142,0.9609,0.69944,0.89415,0.39589,1.4168,0.00635,0.000284009,0.000284009,0.000284009
89,1552.62,0.35567,0.24979,0.86945,0.00634,0.93794,0.92383,0.95302,0.6927,0.88901,0.39511,1.39248,0.00684,0.000279606,0.000279606,0.000279606
90,1579.81,0.35312,0.24612,0.86276,0.0059,0.9541,0.93254,0.95606,0.69581,0.89765,0.39904,1.41783,0.00688,0.000275204,0.000275204,0.000275204
91,1606.42,0.35022,0.24772,0.86378,0.006,0.93621,0.93511,0.95437,0.69551,0.8931,0.39979,1.41701,0.00653,0.000270802,0.000270802,0.000270802
